"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-H2O20.0-BLANK","M5-H2O20.0-BLANK",0.0498269484437618,0.048874555191222,0.17519220977738,0.283219647233821,0
"M5-H2O20.025-BLANK","M5-H2O20.025-BLANK",0.051255997118456,0.0515140492008798,0.172344761025143,0.276886580073918,0.025
"M5-H2O20.05-BLANK","M5-H2O20.05-BLANK",0.0488815857318749,0.0505826510578108,0.167326868080728,0.274034368376986,0.05
"M5-H2O20.075-BLANK","M5-H2O20.075-BLANK",0.0519368044592674,0.0526209706555166,0.170689828059074,0.279582880556548,0.075
"M5-H2O20.1-BLANK","M5-H2O20.1-BLANK",0.0525431074959153,0.0520222284888854,0.16933826596364,0.278825050253561,0.1
"M5-H2O20.2-BLANK","M5-H2O20.2-BLANK",0.0522013174635093,0.0505752575749595,0.165466730921738,0.275420048580244,0.2
