"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"DM13-2D-0.000H2O2-DHE","DM13-2D-0.000H2O2-DHE",7.79647738961908,8.18523763509331,3.10183032721514,7.40770664860813
"DM13-2D-0.001H2O2-DHE","DM13-2D-0.001H2O2-DHE",7.75289897936042,8.10978814777798,3.07619531819201,7.39995809932809
"DM13-2D-0.0025H2O2-DHE","DM13-2D-0.0025H2O2-DHE",7.7320110414965,8.09631766321666,3.14544594390652,7.49053582894003
"DM13-2D-0.005H2O2-DHE","DM13-2D-0.005H2O2-DHE",7.66854547074546,8.03699681559853,3.11688394793706,7.37905008835761
"DM13-2D-0.01H2O2-DHE","DM13-2D-0.01H2O2-DHE",7.72071834024403,8.08407108783001,3.12937557692048,7.35490219310909
"DM13-2D-0.025H2O2-DHE","DM13-2D-0.025H2O2-DHE",7.69577648578419,7.97571421199743,3.13745696333327,7.24016901729432
"DM13-2D-0.05H2O2-DHE","DM13-2D-0.05H2O2-DHE",7.74708437945557,8.06177950141596,3.12959311835065,7.09408359756518
"DM13-2D-0.075H2O2-DHE","DM13-2D-0.075H2O2-DHE",7.7611503959434,8.04925747766297,3.10691009704683,6.92452209875974
"DM13-2D-0.1H2O2-DHE","DM13-2D-0.1H2O2-DHE",7.7447981449559,8.05470114367307,3.10591091486378,6.85987247594597
