"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"DM13-0.5D-0.000H2O2-DHR","DM13-0.5D-0.000H2O2-DHR",0.064247410263752,0.0764579815468308,0.181351017343333,0.337741517867068
"DM13-0.5D-0.001QQH2O2-DHR","DM13-0.5D-0.001QQH2O2-DHR",0.062217842842259,0.0716648476189688,0.190335531287149,0.32547738771213
"DM13-0.5D-0.0025H2O2-DHR","DM13-0.5D-0.0025H2O2-DHR",0.0610130645776668,0.0706150173704519,0.186211952983103,0.330086984272196
"DM13-0.5D-0.005H2O2-DHR","DM13-0.5D-0.005H2O2-DHR",0.0647519263293475,0.0728007102805355,0.191703112011281,0.316093163641145
"DM13-0.5D-0.01H2O2-DHR","DM13-0.5D-0.01H2O2-DHR",0.0608269209970074,0.0706733094826673,0.207022804177354,0.323277340803768
"DM13-0.5D-0.025H2O2-DHR","DM13-0.5D-0.025H2O2-DHR",0.0625895787280325,0.0680874657818292,0.180887853794613,0.317670763792316
"DM13-0.5D-0.05H2O2-DHR","DM13-0.5D-0.05H2O2-DHR",0.0643598836921705,0.0764967256930637,0.18045143292505,0.339388984649828
"DM13-0.5D-0.075H2O2-DHR","DM13-0.5D-0.075H2O2-DHR",0.0655856971937309,0.079171483653099,0.177146755072868,0.326056410191562
"DM13-0.5D-0.1H2O2-DHR","DM13-0.5D-0.1H2O2-DHR",0.0601339467463889,0.0642378154889799,0.168890085955815,0.330828747516253
