"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"DM13-2D-0.000H2O2-DHE","DM13-2D-0.000H2O2-DHE",0.0496571681330846,0.0551460199980714,0.143028527716852,0.0637395668609839
"DM13-2D-0.001H2O2-DHE","DM13-2D-0.001H2O2-DHE",0.0503192236539222,0.0571454221440132,0.144232880031245,0.073874556409706
"DM13-2D-0.0025H2O2-DHE","DM13-2D-0.0025H2O2-DHE",0.0499483295298383,0.0576053731565087,0.14145050970582,0.0596859945667313
"DM13-2D-0.005H2O2-DHE","DM13-2D-0.005H2O2-DHE",0.049735997993112,0.0568079854936631,0.135911529202687,0.0598545943160524
"DM13-2D-0.01H2O2-DHE","DM13-2D-0.01H2O2-DHE",0.048725676231973,0.0542056308241516,0.134737200832474,0.0581227093136156
"DM13-2D-0.025H2O2-DHE","DM13-2D-0.025H2O2-DHE",0.0521804042273001,0.0590646215804066,0.146808575648222,0.0775953296220538
"DM13-2D-0.05H2O2-DHE","DM13-2D-0.05H2O2-DHE",0.050324339284904,0.0575175351664412,0.142392102036501,0.0771391764175948
"DM13-2D-0.075H2O2-DHE","DM13-2D-0.075H2O2-DHE",0.0478950531916689,0.0544639741839237,0.137037719670524,0.0762433648395926
"DM13-2D-0.1H2O2-DHE","DM13-2D-0.1H2O2-DHE",0.0466384934222825,0.0559867943063587,0.139417791683644,0.0840058661294906
