"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"DM13-2D-O.000H2O2-DHR","DM13-2D-O.000H2O2-DHR",7.75872955051266,7.90944369196237,4.82199113073071,1.79219426575051
"DM13-2D-O.001H2O2-DHR","DM13-2D-O.001H2O2-DHR",7.72190463949823,7.87643979118408,4.65142011040023,1.79866149193799
"DM13-2D-O.0025H2O2-DHR","DM13-2D-O.0025H2O2-DHR",7.71239740227737,7.83861483943638,4.51754654246374,1.85099066211035
"DM13-2D-O.005H2O2-DHR","DM13-2D-O.005H2O2-DHR",7.73785271274574,7.84940252176292,4.55681729729115,1.92595367645355
"DM13-2D-O.01H2O2-DHR","DM13-2D-O.01H2O2-DHR",7.74870063425776,7.86805187662156,4.49730199309609,1.92068177835974
"DM13-2D-O.025H2O2-DHR","DM13-2D-O.025H2O2-DHR",7.72546274500555,7.79956480708463,4.7570920531239,1.96689053902162
"DM13-2D-O.05H2O2-DHR","DM13-2D-O.05H2O2-DHR",7.74234333385812,7.82074714053801,4.87975185107785,1.95853855994437
"DM13-2D-O.075H2O2-DHR","DM13-2D-O.075H2O2-DHR",7.76356658751834,7.81542129017407,5.14475117749622,2.00204794901609
"DM13-2D-O.1H2O2-DHR","DM13-2D-O.1H2O2-DHR",7.75719770971179,7.78783384035435,5.47453346675004,1.98995800708646
