"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"DM13-0.5D-0.000H2O2-DHE","DM13-0.5D-0.000H2O2-DHE",0.0646010668395855,0.0677222575720332,0.183011242861498,0.0763689666775841
"DM13-0.5D-0.001H2O2-DHE","DM13-0.5D-0.001H2O2-DHE",0.0594029495408876,0.0623061941312708,0.178791427689494,0.0676146504099559
"DM13-0.5D-0.0025H2O2-DHE","DM13-0.5D-0.0025H2O2-DHE",0.061241861639592,0.0639567153911549,0.180635030143358,0.0694449480969871
"DM13-0.5D-0.005H2O2-DHE","DM13-0.5D-0.005H2O2-DHE",0.0639631988065459,0.0635057178691761,0.174164461448158,0.0786801984985347
"DM13-0.5D-0.01H2O2-DHE","DM13-0.5D-0.01H2O2-DHE",0.0583770706619828,0.0615149088951341,0.171641479540456,0.0798391042295888
"DM13-0.5D-0.025H2O2-DHE","DM13-0.5D-0.025H2O2-DHE",0.0620142523306141,0.0648797407042775,0.173968748805269,0.0734539694188689
"DM13-0.5D-0.05H2O2-DHE","DM13-0.5D-0.05H2O2-DHE",0.0628095207218588,0.0664151055879145,0.179751684390033,0.0739153160110917
"DM13-0.5D-0.075H2O2-DHE","DM13-0.5D-0.075H2O2-DHE",0.0649842126813814,0.0686799310828431,0.177102042322106,0.0863187123039141
"DM13-0.5D-0.1H2O2-DHE","DM13-0.5D-0.1H2O2-DHE",0.0604104629456384,0.0640193299616198,0.171727329486336,0.0674460136744604
