"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"DM13-0.5D-0.000H2O2-DHE","DM13-0.5D-0.000H2O2-DHE",7.63618643779496,8.02903018764695,3.16806275924574,7.60595967976477
"DM13-0.5D-0.001H2O2-DHE","DM13-0.5D-0.001H2O2-DHE",7.69005699968483,8.04002404891862,3.08251093932624,7.52867625176139
"DM13-0.5D-0.0025H2O2-DHE","DM13-0.5D-0.0025H2O2-DHE",7.62177845969745,7.99195809034616,3.18434383068366,7.60552854677582
"DM13-0.5D-0.005H2O2-DHE","DM13-0.5D-0.005H2O2-DHE",7.67842869479486,8.04077602414119,3.171715511255,7.48069270180742
"DM13-0.5D-0.01H2O2-DHE","DM13-0.5D-0.01H2O2-DHE",7.60858859267997,7.9137310642591,3.08828030940716,7.31628306437843
"DM13-0.5D-0.025H2O2-DHE","DM13-0.5D-0.025H2O2-DHE",7.64706904912147,8.02008827842699,3.16120889764768,7.57554764748004
"DM13-0.5D-0.05H2O2-DHE","DM13-0.5D-0.05H2O2-DHE",7.59722677300766,8.00494022653452,3.31100870013402,7.73323325975123
"DM13-0.5D-0.075H2O2-DHE","DM13-0.5D-0.075H2O2-DHE",7.62384209842773,7.91830284444033,3.25123781757511,7.46153383704283
"DM13-0.5D-0.1H2O2-DHE","DM13-0.5D-0.1H2O2-DHE",7.64091724153461,8.03671269426942,3.08402606502233,7.52602433687639
