"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M34-H2O20.0-DHRDHE","M34-H2O20.0-DHRDHE",0.0677231759013918,0.0688849469595348,0.174890295647242,0.102903083662191,0
"M34-H2O20.025-DHRDHE","M34-H2O20.025-DHRDHE",0.0687397935467329,0.0694859599181235,0.170086508570089,0.104112787448604,0.025
"M34-H2O20.05-DHRDHE","M34-H2O20.05-DHRDHE",0.0662860184215171,0.0674107455178209,0.16185797990645,0.103635368599178,0.05
"M34-H2O20.075-DHRDHE","M34-H2O20.075-DHRDHE",0.0677286504820911,0.0689494466072192,0.165352302212663,0.106227151387964,0.075
"M34-H2O20.1-DHRDHE","M34-H2O20.1-DHRDHE",0.0677408526897462,0.0704987989530405,0.162997606076878,0.107966999787726,0.1
"M34-H2O20.2-DHRDHE","M34-H2O20.2-DHRDHE",0.0681548328089424,0.0702264203649607,0.16646481773435,0.120715671554042,0.2
