"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M34-H2O20.0-DHRDHE","M34-H2O20.0-DHRDHE",8.2233770473112,8.58669612701635,5.36276053750109,8.18661958134997,0
"M34-H2O20.025-DHRDHE","M34-H2O20.025-DHRDHE",8.19311171607456,8.54129780206375,5.13240298263323,8.15515270319206,0.025
"M34-H2O20.05-DHRDHE","M34-H2O20.05-DHRDHE",8.24557312556376,8.57482043119951,5.20878400620145,8.07315556650685,0.05
"M34-H2O20.075-DHRDHE","M34-H2O20.075-DHRDHE",8.19637476153094,8.54716861039552,5.08747825579324,8.09489211962415,0.075
"M34-H2O20.1-DHRDHE","M34-H2O20.1-DHRDHE",8.1682583762219,8.50999010809576,5.09762516385463,8.10801172018513,0.1
"M34-H2O20.2-DHRDHE","M34-H2O20.2-DHRDHE",8.1817724117129,8.54495461320026,5.07590989242461,8.15118942970203,0.2
