"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"BY-0.5D-0.000H2O2-DHEDHR","BY-0.5D-0.000H2O2-DHEDHR",0.047115849352015,0.0507633891405031,0.141790336843656,0.0852705895241467,0
"BY-0.5D-0.025H2O2-DHEDHR","BY-0.5D-0.025H2O2-DHEDHR",0.0459319953527157,0.0584096120997208,0.186104329107567,0.181872375407079,0.025
"BY-0.5D-0.050H2O2-DHEDHR","BY-0.5D-0.050H2O2-DHEDHR",0.0458641424017212,0.0596618177803376,0.207771886569027,0.149357814341305,0.05
"BY-0.5D-0.075H2O2-DHEDHR","BY-0.5D-0.075H2O2-DHEDHR",0.0438978450734452,0.0560302903687555,0.308237730705053,0.180229464468116,0.075
"BY-0.5D-0.100H2O2-DHEDHR","BY-0.5D-0.100H2O2-DHEDHR",0.0454344446863423,0.0615345340867731,0.301211444507623,0.269549512158248,0.1
"BY-0.5D-0.200H2O2-DHEDHR","BY-0.5D-0.200H2O2-DHEDHR",0.0447015026177161,0.0564430929081943,0.322532975589758,0.212875229327147,0.2
