"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"BY-0.5D-0.000H2O2-DHR","BY-0.5D-0.000H2O2-DHR",7.86267451312208,8.03184687123884,4.57916955344573,2.28158789915022,0
"BY-0.5D-0.025H2O2-DHR","BY-0.5D-0.025H2O2-DHR",7.80070791986631,7.92221204389116,4.38540466933187,2.32950526069688,0.025
"BY-0.5D-0.05H2O2-DHR","BY-0.5D-0.05H2O2-DHR",7.81567836419168,7.90214627456853,4.56780884955076,2.32558530676201,0.05
"BY-0.5D-0.075H2O2-DHR","BY-0.5D-0.075H2O2-DHR",7.80376896441717,7.95426105121878,6.34958855795795,1.97105924849087,0.075
"BY-0.5D-0.1H2O2-DHR","BY-0.5D-0.1H2O2-DHR",7.8303302657544,7.88186876833248,4.70661807781199,2.33642332730609,0.1
"BY-0.5D-0.2H2O2-DHR","BY-0.5D-0.2H2O2-DHR",7.80541859555398,7.87304736999421,4.85063044907127,2.36746365918993,0.2
