"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"BY-0.5D-0.000H2O2-DHEDHR","BY-0.5D-0.000H2O2-DHEDHR",7.82948275653591,8.19131828521083,5.45138525603898,7.38825872097083,0
"BY-0.5D-0.025H2O2-DHEDHR","BY-0.5D-0.025H2O2-DHEDHR",7.79701583779738,8.04172175140762,4.7954306501022,6.357898118785,0.025
"BY-0.5D-0.050H2O2-DHEDHR","BY-0.5D-0.050H2O2-DHEDHR",7.81755685771888,8.11527337142213,4.68295653178453,6.76482564343563,0.05
"BY-0.5D-0.075H2O2-DHEDHR","BY-0.5D-0.075H2O2-DHEDHR",7.7987582771933,8.1517718677202,6.55804790175192,6.62551935560687,0.075
"BY-0.5D-0.100H2O2-DHEDHR","BY-0.5D-0.100H2O2-DHEDHR",7.78915624623933,7.96543282014112,4.81855226221595,5.81913807659099,0.1
"BY-0.5D-0.200H2O2-DHEDHR","BY-0.5D-0.200H2O2-DHEDHR",7.78701372836679,7.98826708536981,5.13230364553365,6.32821479061179,0.2
