"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-H2O20.0-DHRDHE","M5-H2O20.0-DHRDHE",0.042952226499569,0.0439358586341822,0.16526698390048,0.0988586872458646,0
"M5-H2O20.025-DHRDHE","M5-H2O20.025-DHRDHE",0.0439101778330799,0.048575807112996,0.166062511988836,0.118113062749782,0.025
"M5-H2O20.05-DHRDHE","M5-H2O20.05-DHRDHE",0.0425229098544109,0.0447066514724741,0.146447006470537,0.122900997431075,0.05
"M5-H2O20.075-DHRDHE","M5-H2O20.075-DHRDHE",0.0412435475783212,0.0454393712928075,0.153570962275832,0.137613965637442,0.075
"M5-H2O20.1-DHRDHE","M5-H2O20.1-DHRDHE",0.0415053209436346,0.0469157607317128,0.157188611488319,0.149571338316281,0.1
"M5-H2O20.2-DHRDHE","M5-H2O20.2-DHRDHE",0.0414485112750582,0.0468881479092308,0.19260218164908,0.18193479943744,0.2
