"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-H2O20.0-ONDHR","M5-H2O20.0-ONDHR",7.74128458402445,8.0073521713855,8.25837356010267,1.52107375057792,0
"M5-H2O20.025-ONDHR","M5-H2O20.025-ONDHR",7.70037239164156,7.98648413927619,8.22473454851841,1.53142359494977,0.025
"M5-H2O20.05-ONDHR","M5-H2O20.05-ONDHR",7.68715763656743,7.9893632191445,8.14012924424457,1.53235956860849,0.05
"M5-H2O20.075-ONDHR","M5-H2O20.075-ONDHR",7.68611406355944,7.97852529403259,8.10031151382401,1.56725788454536,0.075
"M5-H2O20.1-ONDHR","M5-H2O20.1-ONDHR",7.67752584405169,7.97691868470431,7.98838810329573,1.57517090649285,0.1
"M5-H2O20.2-ONDHR","M5-H2O20.2-ONDHR",7.68058714493191,7.97984498130177,8.00355575841752,1.5973082199723,0.2
