"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-H2O20.0-DHE","M5-H2O20.0-DHE",0.0386098763146117,0.0416624970568704,0.156436027894799,0.104698605932089,0
"M5-H2O20.025-DHE","M5-H2O20.025-DHE",0.0403131113422657,0.0420184070782224,0.15878870400086,0.114476614499707,0.025
"M5-H2O20.05-DHE","M5-H2O20.05-DHE",0.0394014678029468,0.0417474811823053,0.159592375661232,0.126989822479609,0.05
"M5-H2O20.075-DHE","M5-H2O20.075-DHE",0.0424476870771177,0.0474922134261444,0.178467552322492,0.1527654985072,0.075
"M5-H2O20.1-DHE","M5-H2O20.1-DHE",0.0404261548006293,0.0447129974258962,0.17296586452777,0.157285697168555,0.1
"M5-H2O20.2-DHE","M5-H2O20.2-DHE",0.0404891085144705,0.0476497367233428,0.179173841258147,0.178836922488283,0.2
