"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-H2O20.0-1.5DHR","M5-H2O20.0-1.5DHR",7.90683373078623,7.92164035544374,5.10467412865795,1.68684214020856,0
"M5-H2O20.025-1.5DHR","M5-H2O20.025-1.5DHR",7.88770109921873,7.87565065849598,4.73323099854917,1.76702802656256,0.025
"M5-H2O20.05-1.5DHR","M5-H2O20.05-1.5DHR",7.88132663271134,7.87303630044059,4.82098076478998,1.76578364659505,0.05
"M5-H2O20.075-1.5DHR","M5-H2O20.075-1.5DHR",7.86718282658314,7.85115345887394,4.65962956977079,1.79455248731577,0.075
"M5-H2O20.1-1.5DHR","M5-H2O20.1-1.5DHR",7.8772501245556,7.85308698163062,4.63346480609201,1.8105092774416,0.1
"M5-H2O20.2-1.5DHR","M5-H2O20.2-1.5DHR",7.88142450980774,7.85475831237216,4.51307163383224,1.89492130629491,0.2
