"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-H2O20.0-BLANK","M5-H2O20.0-BLANK",7.60699071641023,8.03769081711645,2.50269905323427,1.68571330519877,0
"M5-H2O20.025-BLANK","M5-H2O20.025-BLANK",7.58451707913817,8.00094746007441,2.5427343765644,1.75536968265615,0.025
"M5-H2O20.05-BLANK","M5-H2O20.05-BLANK",7.6400113912908,8.00085208628546,2.56619262753159,1.78974926587521,0.05
"M5-H2O20.075-BLANK","M5-H2O20.075-BLANK",7.56359356690581,8.00798251778876,2.57610555509439,1.79293841769,0.075
"M5-H2O20.1-BLANK","M5-H2O20.1-BLANK",7.53167372389857,8.00412817100785,2.57932411087568,1.79918386438478,0.1
"M5-H2O20.2-BLANK","M5-H2O20.2-BLANK",7.48981634606465,8.00321276867004,2.6181353150257,1.82907734082315,0.2
