"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M28-H2O20.0-ONDHR","M28-H2O20.0-ONDHR",6.52223458168997,5.53959167703141,5.62175403382572,3.24041302893279,0
"M28-H2O20.025-ONDHR","M28-H2O20.025-ONDHR",6.51867842838807,5.51426742653105,5.76129065321507,3.45463984129939,0.025
"M28-H2O20.05-ONDHR","M28-H2O20.05-ONDHR",6.49913073513495,5.55799452741704,5.16328836227074,3.02335858234972,0.05
"M28-H2O20.075-ONDHR","M28-H2O20.075-ONDHR",6.46113115090647,5.62010152241524,5.15270128895816,3.00497929390306,0.075
"M28-H2O20.1-ONDHR","M28-H2O20.1-ONDHR",6.50965060562177,5.51087470548586,5.52793344173885,3.34495626970925,0.1
"M28-H2O20.2-ONDHR","M28-H2O20.2-ONDHR",6.49135857840357,5.55246315872355,5.55824817186808,3.45960750619508,0.2
