"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M28-H2O20.0-ONDHR","M28-H2O20.0-ONDHR",0.0352351994962406,0.0788925848786057,0.14876095311923,0.301668849291441,0
"M28-H2O20.025-ONDHR","M28-H2O20.025-ONDHR",0.0326184693088754,0.0622657803447064,0.143194271891568,0.288373074549314,0.025
"M28-H2O20.05-ONDHR","M28-H2O20.05-ONDHR",0.0350050298078072,0.0795667765838974,0.163062407905947,0.349704361131999,0.05
"M28-H2O20.075-ONDHR","M28-H2O20.075-ONDHR",0.0397066212510433,0.102283484092002,0.18034697372711,0.406529744729666,0.075
"M28-H2O20.1-ONDHR","M28-H2O20.1-ONDHR",0.030140919331937,0.068428564241419,0.141187855746504,0.294901477970397,0.1
"M28-H2O20.2-ONDHR","M28-H2O20.2-ONDHR",0.0333549594060554,0.0779774923380042,0.150562338389469,0.300483110295364,0.2
