"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M13-H2O20.0-ONDHR","M13-H2O20.0-ONDHR",0.0687352750814131,0.0693507600557101,0.164147686218189,0.415877316677444,0
"M13-H2O20.025-ONDHR","M13-H2O20.025-ONDHR",0.136350201134323,0.142335912293705,0.449689856767217,0.42518786379432,0.025
"M13-H2O20.05-ONDHR","M13-H2O20.05-ONDHR",0.0806781738437588,0.16719571259439,0.321570855278915,0.418622194242007,0.05
"M13-H2O20.075-ONDHR","M13-H2O20.075-ONDHR",0.125019977317179,0.152888016608852,0.344154750297272,0.698117646943512,0.075
"M13-H2O20.1-ONDHR","M13-H2O20.1-ONDHR",0.0874301666323793,0.0748058653156797,0.305459833911597,0.294429122921488,0.1
"M13-H2O20.2-ONDHR","M13-H2O20.2-ONDHR",0.0756627892146269,0.114653371809321,0.490565924359063,0.485050374585013,0.2
