"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"BY-0.5D-0.000H2O2-DHR","BY-0.5D-0.000H2O2-DHR",0.0444113383069597,0.0593492227926752,0.152639308303253,0.256004174833172,0
"BY-0.5D-0.025H2O2-DHR","BY-0.5D-0.025H2O2-DHR",0.0463416284053745,0.0641160493832584,0.165696800066637,0.246857219337487,0.025
"BY-0.5D-0.05H2O2-DHR","BY-0.5D-0.05H2O2-DHR",0.0446778822494625,0.0632452302480915,0.225275576458244,0.259143763327525,0.05
"BY-0.5D-0.075H2O2-DHR","BY-0.5D-0.075H2O2-DHR",0.0428868264944555,0.0552088806613777,0.375614609109174,0.367686905337887,0.075
"BY-0.5D-0.1H2O2-DHR","BY-0.5D-0.1H2O2-DHR",0.0457505051326032,0.062001553428195,0.319625855835834,0.273429887386054,0.1
"BY-0.5D-0.2H2O2-DHR","BY-0.5D-0.2H2O2-DHR",0.0451428659626223,0.060267510244683,0.303867883083684,0.286964753850161,0.2
