"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"SOD2-H2O20.0-DHRDHE","SOD2-H2O20.0-DHRDHE",0.0504564692004374,0.052405892635975,0.122405078473672,0.24102431336314,0
"SOD2-H2O20.025-DHRDHE","SOD2-H2O20.025-DHRDHE",0.0510647318267185,0.0556511982318631,0.146758687370655,0.266926295894471,0.025
"SOD2-H2O20.05-DHRDHE","SOD2-H2O20.05-DHRDHE",0.0511693693426619,0.0572029873904978,0.165029014338342,0.285684064146029,0.05
"SOD2-H2O20.075-DHRDHE","SOD2-H2O20.075-DHRDHE",0.0509994882332593,0.0538370051821335,0.142581769660594,0.272128346596998,0.075
"SOD2-H2O20.1-DHRDHE","SOD2-H2O20.1-DHRDHE",0.0511821231582091,0.0542316144168947,0.151287779876107,0.280444959515062,0.1
"SOD2-H2O20.2-DHRDHE","SOD2-H2O20.2-DHRDHE",0.0522328674108255,0.0580186357460751,0.179261023239735,0.309123421639202,0.2
