"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"SOD2-H2O20.0-ONDHR","SOD2-H2O20.0-ONDHR",7.3085195791512,7.52653896092939,8.80520315409685,1.33285252915692,0
"SOD2-H2O20.025-ONDHR","SOD2-H2O20.025-ONDHR",7.35752103575096,7.60656985315427,8.46053115633215,1.30652454907119,0.025
"SOD2-H2O20.05-ONDHR","SOD2-H2O20.05-ONDHR",7.31188443308483,7.58274107669748,8.14310072446577,1.30707682630209,0.05
"SOD2-H2O20.075-ONDHR","SOD2-H2O20.075-ONDHR",7.33251439943907,7.58599808521903,8.19007517453912,1.32045099799411,0.075
"SOD2-H2O20.1-ONDHR","SOD2-H2O20.1-ONDHR",7.32972381198186,7.57222031550821,8.10880008945602,1.33592360862833,0.1
"SOD2-H2O20.2-ONDHR","SOD2-H2O20.2-ONDHR",7.31228419816528,7.58318823309141,7.8452821389809,1.33763854127323,0.2
