"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"SOD2-H2O20.0-1.5DHR","SOD2-H2O20.0-1.5DHR",7.493715456376,7.55381893677657,6.72131145918956,1.34925456668477,0
"SOD2-H2O20.025-1.5DHR","SOD2-H2O20.025-1.5DHR",7.45416813939277,7.53588411017031,6.91561141048752,1.35395158448771,0.025
"SOD2-H2O20.05-1.5DHR","SOD2-H2O20.05-1.5DHR",7.44731369085113,7.52446858942166,6.89457391082851,1.37428834278086,0.05
"SOD2-H2O20.075-1.5DHR","SOD2-H2O20.075-1.5DHR",7.42282550077237,7.49772792165176,6.90315151178854,1.37697643813044,0.075
"SOD2-H2O20.1-1.5DHR","SOD2-H2O20.1-1.5DHR",7.43959801589875,7.52165499518489,6.96160209056424,1.3754113139074,0.1
"SOD2-H2O20.2-1.5DHR","SOD2-H2O20.2-1.5DHR",7.29183908853557,7.32103513148156,6.2802600119256,1.39585694457121,0.2
