"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"SOD2-H2O20.0-DHE","SOD2-H2O20.0-DHE",7.40032204395101,7.50531998561999,2.56503260515963,4.45581505567468,0
"SOD2-H2O20.025-DHE","SOD2-H2O20.025-DHE",7.43626610761131,7.50573819052246,2.54095760739805,4.25610920364737,0.025
"SOD2-H2O20.05-DHE","SOD2-H2O20.05-DHE",7.43076368897346,7.50805065719008,2.66932883286343,4.46200988793368,0.05
"SOD2-H2O20.075-DHE","SOD2-H2O20.075-DHE",7.44231346060665,7.52703104141515,2.64994428689436,4.31617080911507,0.075
"SOD2-H2O20.1-DHE","SOD2-H2O20.1-DHE",7.42150301168371,7.50895399609816,2.66160486058783,4.34761775418908,0.1
"SOD2-H2O20.2-DHE","SOD2-H2O20.2-DHE",7.4203342654381,7.48578139868151,2.79657405915628,4.62511206394016,0.2
