"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"By4743-H2O20.0-ONDHR","By4743-H2O20.0-ONDHR",0.0639176191314599,0.0557271598763532,0.175496492403622,0.38098926916939,0
"By4743-H2O20.025-ONDHR","By4743-H2O20.025-ONDHR",0.0647792982688999,0.0568800737268008,0.189956662314575,0.376763811499945,0.025
"By4743-H2O20.05-ONDHR","By4743-H2O20.05-ONDHR",0.0632431334481574,0.0591339261511588,0.197774197640358,0.378314077991496,0.05
"By4743-H2O20.075-ONDHR","By4743-H2O20.075-ONDHR",0.0633051196198157,0.0603448749259873,0.188915588554483,0.384421042096156,0.075
"By4743-H2O20.1-ONDHR","By4743-H2O20.1-ONDHR",0.0624212759657854,0.0579579988407391,0.190809019816484,0.385508631511902,0.1
"By4743-H2O20.2-ONDHR","By4743-H2O20.2-ONDHR",0.0653853922105233,0.0588816562735992,0.19992069391737,0.389892550965123,0.2
