"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"By4743-H2O20.0-ONDHR","By4743-H2O20.0-ONDHR",7.71841596999254,8.02844900628859,8.09194435192831,1.74257977441924,0
"By4743-H2O20.025-ONDHR","By4743-H2O20.025-ONDHR",7.65054753841609,7.97044294017504,7.93786687765099,1.82669061951822,0.025
"By4743-H2O20.05-ONDHR","By4743-H2O20.05-ONDHR",7.66671407922645,7.94687056561316,7.90900825953637,1.88808997115285,0.05
"By4743-H2O20.075-ONDHR","By4743-H2O20.075-ONDHR",7.64676599980464,7.924286336991,8.12376529692868,1.83715514373839,0.075
"By4743-H2O20.1-ONDHR","By4743-H2O20.1-ONDHR",7.66562168651242,7.94662040159786,8.15139194230018,1.83102347264009,0.1
"By4743-H2O20.2-ONDHR","By4743-H2O20.2-ONDHR",7.63400857610126,7.91665823594017,8.33139918674411,1.90566868731917,0.2
