"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"By4743-H2O20.0-DHE","By4743-H2O20.0-DHE",0.058113421525683,0.0570148535445802,0.14608565514462,0.152746241934611,0
"By4743-H2O20.025-DHE","By4743-H2O20.025-DHE",0.0593886559387111,0.0648204484929097,0.144304278995998,0.201158641020875,0.025
"By4743-H2O20.05-DHE","By4743-H2O20.05-DHE",0.0595689203109761,0.0654031297816621,0.141085171990212,0.223999072580136,0.05
"By4743-H2O20.075-DHE","By4743-H2O20.075-DHE",0.0559432398206884,0.0635933546497482,0.137349734878507,0.228211530077565,0.075
"By4743-H2O20.1-DHE","By4743-H2O20.1-DHE",0.0580129119013711,0.0630057981840969,0.140873913351631,0.238533089138581,0.1
"By4743-H2O20.2-DHE","By4743-H2O20.2-DHE",0.0586377419464364,0.0616797118858202,0.145327165815857,0.246002411961322,0.2
