"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"By4743-H2O20.0-DHRDHE","By4743-H2O20.0-DHRDHE",7.78784140764362,8.04855647364487,5.37215371053906,6.96058609568813,0
"By4743-H2O20.025-DHRDHE","By4743-H2O20.025-DHRDHE",7.75442671663961,7.96830108623914,4.81406542449034,6.59525462529988,0.025
"By4743-H2O20.05-DHRDHE","By4743-H2O20.05-DHRDHE",7.75653900776322,7.95443643488537,4.67892894032592,6.57285867228295,0.05
"By4743-H2O20.075-DHRDHE","By4743-H2O20.075-DHRDHE",7.75075410816892,7.93841518763359,4.79493558400583,6.58086397732093,0.075
"By4743-H2O20.1-DHRDHE","By4743-H2O20.1-DHRDHE",7.74082038640177,7.93380412825494,4.8318411209798,6.62499865939417,0.1
"By4743-H2O20.2-DHRDHE","By4743-H2O20.2-DHRDHE",7.73233588546532,8.01664284349949,5.31380218914621,6.79078586367047,0.2
