"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M13-H2O20.0-ONDHR","M13-H2O20.0-ONDHR",7.92990647882668,8.33661055448922,8.51153430443259,1.32702226635325,0
"M13-H2O20.025-ONDHR","M13-H2O20.025-ONDHR",7.89288328025063,8.30415425779332,8.53979599375783,1.44708702860492,0.025
"M13-H2O20.05-ONDHR","M13-H2O20.05-ONDHR",7.8548750823581,8.28450943859671,8.40630996668445,1.42903008040344,0.05
"M13-H2O20.075-ONDHR","M13-H2O20.075-ONDHR",7.87011221595589,8.28777129837503,8.55844522977853,1.42104795727516,0.075
"M13-H2O20.1-ONDHR","M13-H2O20.1-ONDHR",7.8863513957831,8.28852582901123,8.58465316796276,1.42688678361973,0.1
"M13-H2O20.2-ONDHR","M13-H2O20.2-ONDHR",7.93421294056267,8.27912191609446,8.62081919658335,1.51846639061643,0.2
