"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"SOD2-H2O20.0-DHE","SOD2-H2O20.0-DHE",0.0529939246031531,0.0545229431700128,0.223754587158967,0.276724107212684,0
"SOD2-H2O20.025-DHE","SOD2-H2O20.025-DHE",0.0509664167926161,0.0543485181817037,0.212028471315884,0.255837382768518,0.025
"SOD2-H2O20.05-DHE","SOD2-H2O20.05-DHE",0.0516146712067747,0.0553029101663218,0.209623593855181,0.283876213916833,0.05
"SOD2-H2O20.075-DHE","SOD2-H2O20.075-DHE",0.0510522138271304,0.0529019159555785,0.201296865030862,0.268615049331737,0.075
"SOD2-H2O20.1-DHE","SOD2-H2O20.1-DHE",0.0520982654619262,0.0535463117165457,0.205296542560929,0.276217305819467,0.1
"SOD2-H2O20.2-DHE","SOD2-H2O20.2-DHE",0.0519077490530223,0.0569350002720469,0.207574897049707,0.306231518114907,0.2
