"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-0.5D-0.000H2O2-DHR","M5-0.5D-0.000H2O2-DHR",7.9573182644939,8.27366918560419,5.21062351172615,1.95334543261311,0
"M5-0.5D-0.025H2O2-DHR","M5-0.5D-0.025H2O2-DHR",7.95290948620606,8.26731250649393,5.31891009956225,2.02646674510507,0.025
"M5-0.5D-0.05H2O2-DHR","M5-0.5D-0.05H2O2-DHR",7.91634864779699,8.2511341333985,5.3031408017446,1.96269028728874,0.05
"M5-0.5D-0.075H2O2-DHR","M5-0.5D-0.075H2O2-DHR",7.93208756383884,8.23349598943196,5.32339498028701,1.98693504715006,0.075
"M5-0.5D-0.1H2O2-DHR","M5-0.5D-0.1H2O2-DHR",7.93700899674325,8.22519026102518,5.39927244680287,1.95349974257207,0.1
"M5-0.5D-0.2H2O2-DHR","M5-0.5D-0.2H2O2-DHR",7.93615732830394,8.1954465279232,5.52314494865943,2.04052695783686,0.2
