"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-2D-0.000H2O2-DHR","M5-2D-0.000H2O2-DHR",8.00791717626052,8.16075649523892,4.7405463177408,1.93645421661012,0
"M5-2D-0.025H2O2-DHR","M5-2D-0.025H2O2-DHR",8.0291424192418,8.16630345382999,4.69324934449993,2.04664452721469,0.025
"M5-2D-0.05H2O2-DHR","M5-2D-0.05H2O2-DHR",7.97297991119345,8.1620674446496,4.89421550967456,2.04503495333749,0.05
"M5-2D-0.075H2O2-DHR","M5-2D-0.075H2O2-DHR",7.8130683198853,8.01311412226433,4.76111490198914,2.31201812675645,0.075
"M5-2D-0.1H2O2-DHR","M5-2D-0.1H2O2-DHR",7.98449391967831,8.0962574427354,4.76437801809275,2.12312194897751,0.1
"M5-2D-0.2H2O2-DHR","M5-2D-0.2H2O2-DHR",8.02630599979545,8.14216814567301,4.76867272001249,2.23620304364436,0.2
