"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-0.5D-0.000H2O2-DHRDHE","M5-0.5D-0.000H2O2-DHRDHE",7.81220799134152,8.54208423868047,4.97960936173323,7.14767655407028,0
"M5-0.5D-0.025H2O2-DHRDHE","M5-0.5D-0.025H2O2-DHRDHE",7.7838549289473,8.56222641961843,4.96061382207188,7.13349145040246,0.025
"M5-0.5D-0.050H2O2-DHRDHE","M5-0.5D-0.050H2O2-DHRDHE",8.0027527006944,8.74978178868873,5.56267532106762,7.26411524890385,0.05
"M5-0.5D-0.075H2O2-DHRDHE","M5-0.5D-0.075H2O2-DHRDHE",7.88215127392352,8.74020037894982,5.07399003058025,7.40486261364526,0.075
"M5-0.5D-0.100H2O2-DHRDHE","M5-0.5D-0.100H2O2-DHRDHE",7.89989803390055,8.77959675979371,5.15773291263048,7.40406558944069,0.1
"M5-0.5D-0.200H2O2-DHRDHE","M5-0.5D-0.200H2O2-DHRDHE",7.88875519370422,8.78075569429527,5.11333030065124,7.51308158259853,0.2
