"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-2D-0.000H2O2-DHR","M5-2D-0.000H2O2-DHR",0.0485787443903594,0.0559012761186179,0.163856205776541,0.294810464422975,0
"M5-2D-0.025H2O2-DHR","M5-2D-0.025H2O2-DHR",0.0505038731724947,0.0546686461210541,0.161399003911016,0.285894624492379,0.025
"M5-2D-0.05H2O2-DHR","M5-2D-0.05H2O2-DHR",0.0530781425490755,0.0610060622832789,0.164279524640558,0.301811721853009,0.05
"M5-2D-0.075H2O2-DHR","M5-2D-0.075H2O2-DHR",0.0793966608297342,0.0768517203232414,0.19861898516998,0.487866118348822,0.075
"M5-2D-0.1H2O2-DHR","M5-2D-0.1H2O2-DHR",0.0477595919745355,0.0575044281881169,0.161006468223638,0.273699875590814,0.1
"M5-2D-0.2H2O2-DHR","M5-2D-0.2H2O2-DHR",0.0476686861267737,0.0571480950776366,0.172642640517294,0.267318655595088,0.2
