"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-2D-0.000H2O2-DHE","M5-2D-0.000H2O2-DHE",0.0466063799200576,0.0513752938558103,0.146651935991782,0.0865409946429641,0
"M5-2D-0.025H2O2-DHE","M5-2D-0.025H2O2-DHE",0.0493749687214947,0.054139081994133,0.136900255597482,0.0862439243555586,0.025
"M5-2D-0.05H2O2-DHE","M5-2D-0.05H2O2-DHE",0.05156126815163,0.05542428803631,0.134320283944945,0.0882683512695611,0.05
"M5-2D-0.075H2O2-DHE","M5-2D-0.075H2O2-DHE",0.050209550120613,0.0572485688278827,0.135967306723847,0.097703931224916,0.075
"M5-2D-0.1H2O2-DHE","M5-2D-0.1H2O2-DHE",0.0485534682344606,0.0547735380926074,0.137866457739041,0.112635462635468,0.1
"M5-2D-0.2H2O2-DHE","M5-2D-0.2H2O2-DHE",0.04742663233389,0.0520110553776924,0.130548648786052,0.108924939115011,0.2
