"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-2D-0.000H2O2-DHRDHE","M5-2D-0.000H2O2-DHRDHE",0.0480618918017367,0.0545197183919154,0.155302900950043,0.148241115024662,0
"M5-2D-0.025H2O2-DHRDHE","M5-2D-0.025H2O2-DHRDHE",0.0484154773632696,0.0569514800594347,0.15406572158386,0.13929635285695,0.025
"M5-2D-0.050H2O2-DHRDHE","M5-2D-0.050H2O2-DHRDHE",0.0512766043303565,0.0608699834828701,0.151758242237808,0.113834603891904,0.05
"M5-2D-0.075H2O2-DHRDHE","M5-2D-0.075H2O2-DHRDHE",0.0505400252699018,0.0617610237724802,0.14679283668693,0.115080260928399,0.075
"M5-2D-0.100H2O2-DHRDHE","M5-2D-0.100H2O2-DHRDHE",0.0476677686506317,0.0581469950691917,0.161046503526955,0.176536815010812,0.1
"M5-2D-0.200H2O2-DHRDHE","M5-2D-0.200H2O2-DHRDHE",0.049470610585051,0.0597991061764482,0.140880049887335,0.138175287608357,0.2
