"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M5-2D-0.000H2O2-DHE","M5-2D-0.000H2O2-DHE",8.04061939566519,8.40075989623409,3.36606117702972,7.99314218564556,0
"M5-2D-0.025H2O2-DHE","M5-2D-0.025H2O2-DHE",8.02823503697734,8.36478741675578,3.44220365632607,7.7823260616156,0.025
"M5-2D-0.05H2O2-DHE","M5-2D-0.05H2O2-DHE",7.9882790193302,8.30536294354576,3.4373875105629,7.7003204048228,0.05
"M5-2D-0.075H2O2-DHE","M5-2D-0.075H2O2-DHE",7.9701551717824,8.26228478237394,3.42704013494949,7.57067501500759,0.075
"M5-2D-0.1H2O2-DHE","M5-2D-0.1H2O2-DHE",8.04659204162984,8.31660678693791,3.44316077223266,7.38097388243829,0.1
"M5-2D-0.2H2O2-DHE","M5-2D-0.2H2O2-DHE",8.04026570736458,8.29053421422585,3.45630629224608,7.28395750334433,0.2
