"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"FM5-2D-0.000H2O2-DHR","FM5-2D-0.000H2O2-DHR",7.85385761966629,7.98830883700139,5.34252052013273,1.62673928987894
"FM5-2D-0.001H2O2-DHR","FM5-2D-0.001H2O2-DHR",7.81466454572501,7.96156123836526,5.35569573546228,1.63594871979308
"FM5-2D-0.0025H2O2-DHR","FM5-2D-0.0025H2O2-DHR",7.82198413894342,7.95696557163653,5.2243275815976,1.67578506852646
"FM5-2D-0.005H2O2-DHR","FM5-2D-0.005H2O2-DHR",7.77737791205772,7.9484740783936,5.11897682561937,1.65199399593584
"FM5-2D-0.01H2O2-DHR","FM5-2D-0.01H2O2-DHR",7.81463131933879,7.92137387651336,5.30976018133221,1.67986837964613
"FM5-2D-0.025H2O2-DHR","FM5-2D-0.025H2O2-DHR",7.79856610716108,7.9286465032446,5.19889612413517,1.70879489990157
"FM5-2D-0.05H2O2-DHR","FM5-2D-0.05H2O2-DHR",7.73710815832247,7.85731214316782,5.09223858836394,1.72208987104502
"FM5-2D-0.075H2O2-DHR","FM5-2D-0.075H2O2-DHR",7.80431495763996,7.9439360719612,5.23422842798921,1.73146804791019
"FM5-2D-0.1H2O2-DHR","FM5-2D-0.1H2O2-DHR",7.8223061003271,7.91314011012802,5.21130902541482,1.7332239276583
