"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"FM5-2D-0.000H2O2-DHE","FM5-2D-0.000H2O2-DHE",0.0436763823523337,0.0503476934481034,0.147069998624726,0.0896536593475406
"FM5-2D-0.001H2O2-DHE","FM5-2D-0.001H2O2-DHE",0.0433062288423814,0.05213482038195,0.14671433546748,0.0877439505406445
"FM5-2D-0.0025H2O2-DHE","FM5-2D-0.0025H2O2-DHE",0.0429958807869914,0.051300350871068,0.138003164656562,0.0800828949076035
"FM5-2D-0.005H2O2-DHE","FM5-2D-0.005H2O2-DHE",0.0433284322217954,0.0501564157716075,0.14900873999859,0.0804601719990135
"FM5-2D-0.01H2O2-DHE","FM5-2D-0.01H2O2-DHE",0.0433902878749837,0.0519955084873038,0.149482174758695,0.109824107268956
"FM5-2D-0.025H2O2-DHE","FM5-2D-0.025H2O2-DHE",0.0421220687391612,0.0504707899448047,0.150937553898721,0.0961940745372072
"FM5-2D-0.05H2O2-DHE","FM5-2D-0.05H2O2-DHE",0.0428878375494985,0.0492541846070614,0.164866696642466,0.105201680894098
"FM5-2D-0.075H2O2-DHE","FM5-2D-0.075H2O2-DHE",0.0414343141751834,0.0519451166192066,0.14931066303767,0.110636405695294
"FM5-2D-0.1H2O2-DHE","FM5-2D-0.1H2O2-DHE",0.0429221728839391,0.0539266771216607,0.162070025581958,0.115673636884076
