"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"FM5-2D-0.000H2O2-DHR","FM5-2D-0.000H2O2-DHR",0.0465793525918145,0.0476392141289966,0.202287323983797,0.325288028842999
"FM5-2D-0.001H2O2-DHR","FM5-2D-0.001H2O2-DHR",0.0485946715585569,0.0501861015867422,0.197479764987567,0.329332180485988
"FM5-2D-0.0025H2O2-DHR","FM5-2D-0.0025H2O2-DHR",0.0471973491683651,0.0507176384110569,0.206940355549828,0.323961169714238
"FM5-2D-0.005H2O2-DHR","FM5-2D-0.005H2O2-DHR",0.0499234328428199,0.0510834591530149,0.206852077764039,0.321022678483047
"FM5-2D-0.01H2O2-DHR","FM5-2D-0.01H2O2-DHR",0.0447512643866438,0.0484318404409745,0.197600681440195,0.322184542333817
"FM5-2D-0.025H2O2-DHR","FM5-2D-0.025H2O2-DHR",0.0485681446875889,0.0515289969817506,0.197141476990321,0.321695556122475
"FM5-2D-0.05H2O2-DHR","FM5-2D-0.05H2O2-DHR",0.050112234864635,0.0562163370247178,0.178345489320238,0.318841849913783
"FM5-2D-0.075H2O2-DHR","FM5-2D-0.075H2O2-DHR",0.0453014040871654,0.0504893874243051,0.186812225340091,0.315810260720143
"FM5-2D-0.1H2O2-DHR","FM5-2D-0.1H2O2-DHR",0.0464220876586294,0.0518420124063862,0.199405576076989,0.315435055921852
