"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"FM5-0.5D-0.000H2O2-DHE","FM5-0.5D-0.000H2O2-DHE",0.0495484858493588,0.0593820887579251,0.195381718740405,0.110574927245039
"FM5-0.5D-0.001H2O2-DHE","FM5-0.5D-0.001H2O2-DHE",0.0483334920816435,0.0552392949875527,0.209511150588045,0.107775238663047
"FM5-0.5D-0.0025H2O2-DHE","FM5-0.5D-0.0025H2O2-DHE",0.0479396528186976,0.0534197322239185,0.193151266140188,0.0972813515459978
"FM5-0.5D-0.005H2O2-DHE","FM5-0.5D-0.005H2O2-DHE",0.0519140190875464,0.0606645174874824,0.193950503685171,0.116187498779566
"FM5-0.5D-0.01H2O2-DHE","FM5-0.5D-0.01H2O2-DHE",0.0582244263823198,0.0643032122732716,0.200754874402166,0.128203334037372
"FM5-0.5D-0.025H2O2-DHE","FM5-0.5D-0.025H2O2-DHE",0.0423554631612099,0.0558096967735476,0.189674550323628,0.113674057648974
"FM5-0.5D-0.05H2O2-DHE","FM5-0.5D-0.05H2O2-DHE",0.0490137019164697,0.0547458806561305,0.204970632965207,0.125467736854953
"FM5-0.5D-0.075H2O2-DHE","FM5-0.5D-0.075H2O2-DHE",0.0538141162946213,0.0611754348928603,0.21406260760783,0.112001089179867
"FM5-0.5D-0.1H2O2-DHE","FM5-0.5D-0.1H2O2-DHE",0.0519357505878401,0.0651394148006118,0.19634948781491,0.120926350972842
