"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"FM5-2D-0.000H2O2-DHE","FM5-2D-0.000H2O2-DHE",7.89747543224574,8.13590030401503,3.12529986537717,7.63688835064345
"FM5-2D-0.001H2O2-DHE","FM5-2D-0.001H2O2-DHE",7.88536774983385,8.18501964458136,3.10003679712393,7.64342276847135
"FM5-2D-0.0025H2O2-DHE","FM5-2D-0.0025H2O2-DHE",7.89423731274557,8.17824965481325,3.11238523790172,7.43242161499807
"FM5-2D-0.005H2O2-DHE","FM5-2D-0.005H2O2-DHE",7.86483412450174,8.1517845875637,3.17149731743479,7.49367401821616
"FM5-2D-0.01H2O2-DHE","FM5-2D-0.01H2O2-DHE",7.91645676521502,8.2034547407633,3.15453875023482,7.29875246545747
"FM5-2D-0.025H2O2-DHE","FM5-2D-0.025H2O2-DHE",7.88616653159842,8.10031453774326,3.0770111900965,7.13474722519129
"FM5-2D-0.05H2O2-DHE","FM5-2D-0.05H2O2-DHE",7.8451650597936,7.9891137438659,3.10722197493965,7.04796732906054
"FM5-2D-0.075H2O2-DHE","FM5-2D-0.075H2O2-DHE",7.89722007476818,8.11397419686026,2.98076115137812,6.81478104063109
"FM5-2D-0.1H2O2-DHE","FM5-2D-0.1H2O2-DHE",7.92103495772303,8.11628956997445,3.02417132830356,6.75194253748018
