"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"FM5-0.5D-0.000H2O2-DHE","FM5-0.5D-0.000H2O2-DHE",7.86438713550721,8.26708146099273,2.99540910190722,7.20459362835939
"FM5-0.5D-0.001H2O2-DHE","FM5-0.5D-0.001H2O2-DHE",7.8083616139245,8.14669587192168,3.00802873490519,7.15107189702255
"FM5-0.5D-0.0025H2O2-DHE","FM5-0.5D-0.0025H2O2-DHE",7.79621771022978,8.06880794348766,2.94235345743167,7.09687205803179
"FM5-0.5D-0.005H2O2-DHE","FM5-0.5D-0.005H2O2-DHE",7.84384843171948,8.30335720118049,2.96152249003114,7.02503156860598
"FM5-0.5D-0.01H2O2-DHE","FM5-0.5D-0.01H2O2-DHE",7.68367791132094,8.28226205930507,2.94663440009152,6.96478242552299
"FM5-0.5D-0.025H2O2-DHE","FM5-0.5D-0.025H2O2-DHE",7.67571728861413,8.12275444857353,2.78661139384148,6.66666821524595
"FM5-0.5D-0.05H2O2-DHE","FM5-0.5D-0.05H2O2-DHE",7.76729551080671,8.06026279988907,2.88512357900095,6.61171198761998
"FM5-0.5D-0.075H2O2-DHE","FM5-0.5D-0.075H2O2-DHE",7.73606228648923,8.21932293420973,2.7569966667279,6.46607810732926
"FM5-0.5D-0.1H2O2-DHE","FM5-0.5D-0.1H2O2-DHE",7.77213678315659,8.23184364210578,2.930680567398,6.72549974621649
