"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"YPS128-H2O20.0-DHEDHR","YPS128-H2O20.0-DHEDHR",0.0524549305350175,0.0552518984836268,0.164280001332604,0.121275672548044
"YPS128-H2O20.025-DHEDHR","YPS128-H2O20.025-DHEDHR",0.0503701568440447,0.0588706188007946,0.187544565057442,0.184199348143731
"YPS128-H2O20.05-DHEDHR","YPS128-H2O20.05-DHEDHR",0.0499697641076479,0.0599411913873054,0.232639206386787,0.219912087854602
"YPS128-H2O20.075-DHEDHR","YPS128-H2O20.075-DHEDHR",0.0518860576051637,0.0607882418431388,0.22811919657891,0.22737337970006
"YPS128-H2O20.1-DHEDHR","YPS128-H2O20.1-DHEDHR",0.0494874905287322,0.0589643888816316,0.24415321140831,0.230525979698466
