"","name","FSC-H","SSC-H","FL1-H","FL3-H"
"YPS128-H2O20.0-DHEDHR","YPS128-H2O20.0-DHEDHR",7.70762782754185,7.80209783769744,5.0964694732716,7.18120655987497
"YPS128-H2O20.025-DHEDHR","YPS128-H2O20.025-DHEDHR",7.72278375958646,7.6670800136003,4.49204182414596,6.34261690775552
"YPS128-H2O20.05-DHEDHR","YPS128-H2O20.05-DHEDHR",7.70969669584976,7.63225826062387,4.38028143799095,6.21207072715641
"YPS128-H2O20.075-DHEDHR","YPS128-H2O20.075-DHEDHR",7.70658256637193,7.65185424887457,4.50122486706234,6.32971177526709
"YPS128-H2O20.1-DHEDHR","YPS128-H2O20.1-DHEDHR",7.72116141694512,7.66377058742159,4.66374004862737,6.25852371286615
