"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M13-H2O20.0-ONDHR","M13-H2O20.0-ONDHR",7.59415048263188,7.82823517293035,7.70939487551421,1.47725325838986,0
"M13-H2O20.025-ONDHR","M13-H2O20.025-ONDHR",6.84778349410453,6.90180327741481,5.95170906846534,1.53952044238429,0.025
"M13-H2O20.05-ONDHR","M13-H2O20.05-ONDHR",7.98399174069881,7.57434572902859,6.98663210375696,1.19292126785351,0.05
"M13-H2O20.075-ONDHR","M13-H2O20.075-ONDHR",7.65897597589752,7.37537293558706,6.31781706680119,1.31773742929987,0.075
"M13-H2O20.1-ONDHR","M13-H2O20.1-ONDHR",7.58784829314734,8.09023010121994,7.29146217671107,1.39649537581116,0.1
"M13-H2O20.2-ONDHR","M13-H2O20.2-ONDHR",7.82823520893669,8.02900853475704,6.79973560063584,1.5147863225184,0.2
