"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M13-H2O20.0-1.5DHR","M13-H2O20.0-1.5DHR",8.13794735961772,8.41704852616167,6.62810281959028,1.22607667245361,0
"M13-H2O20.025-1.5DHR","M13-H2O20.025-1.5DHR",8.05691799935255,8.19106662617044,6.39041890043212,1.63365135655101,0.025
"M13-H2O20.05-1.5DHR","M13-H2O20.05-1.5DHR",8.1523525833045,8.2684946889819,6.25987268281117,2.42273387786641,0.05
"M13-H2O20.075-1.5DHR","M13-H2O20.075-1.5DHR",8.0560176751539,8.21717609138759,6.00508358108025,2.12227390636826,0.075
"M13-H2O20.1-1.5DHR","M13-H2O20.1-1.5DHR",7.88225466188836,8.00740002432834,5.83673524139342,1.76053771405409,0.1
"M13-H2O20.2-1.5DHR","M13-H2O20.2-1.5DHR",7.90206185446297,8.0371107941404,5.68371871759244,2.0291942974952,0.2
