"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M13-H2O20.0-DHE","M13-H2O20.0-DHE",0.164128416754609,0.197457308142067,0.512504285237621,0.248053823462847,0
"M13-H2O20.025-DHE","M13-H2O20.025-DHE",0.113738631557498,0.110135162550021,0.537483986257024,0.409113990070827,0.025
"M13-H2O20.05-DHE","M13-H2O20.05-DHE",0.0560848537629627,0.0766288921211471,0.527865333844298,0.504032603302907,0.05
"M13-H2O20.075-DHE","M13-H2O20.075-DHE",0.139870505409741,0.0819078213735734,0.343084102894802,0.157160592411455,0.075
"M13-H2O20.1-DHE","M13-H2O20.1-DHE",0.0670829750068444,0.0654735736974169,0.165100342513837,0.105887635631742,0.1
"M13-H2O20.2-DHE","M13-H2O20.2-DHE",0.0928487217494451,0.0964046303966349,0.445793675264467,0.626109702707121,0.2
