"","name","FSC-H","SSC-H","FL1-H","FL3-H","H2O2"
"M13-H2O20.0-DHE","M13-H2O20.0-DHE",7.31054999241293,7.4239928161312,2.66166119469166,6.49583751903239,0
"M13-H2O20.025-DHE","M13-H2O20.025-DHE",7.49871631740689,7.07736419231044,2.18691123015264,5.17018635215083,0.025
"M13-H2O20.05-DHE","M13-H2O20.05-DHE",8.05061570344375,7.82103260642701,2.40143184720392,5.02253220965471,0.05
"M13-H2O20.075-DHE","M13-H2O20.075-DHE",6.53447166031536,6.65331128523778,1.29475914375279,4.16619159530936,0.075
"M13-H2O20.1-DHE","M13-H2O20.1-DHE",7.89665994370047,8.07042289434253,3.3836629440832,6.72263695293296,0.1
"M13-H2O20.2-DHE","M13-H2O20.2-DHE",7.7877209844263,7.78501975545293,2.49804918389145,4.12537055159756,0.2
